# ----------------------------------------------
# File created by ellipsoFit 2010-07-04T11:28:42
# ----------------------------------------------
Data file =	/media/flashdrive/Mesures/Ellipsometer/1735.csv
Einf =	2.7756
Ep   =	10.122
G    =	47.009
Ek(1) =	1.703
fk(1) =	4.1878
Gk(1) =	1.3476
Ek(2) =	2.6966
fk(2) =	2.6757
Gk(2) =	1.5983
Ek(3) =	3.0128
fk(3) =	1.2143
Gk(3) =	0.80721
Ek(4) =	3.2325
fk(4) =	0.34022
Gk(4) =	0.3343
Ek(5) =	3.7158
fk(5) =	0.15629
Gk(5) =	0.46526
Ek(6) =	4.0674
fk(6) =	0.41211
Gk(6) =	0.72443
Ek(7) =	5.4524
fk(7) =	0.5225
Gk(7) =	0.62195
Ek(8) =	1.5492
fk(8) =	1.1634
Gk(8) =	1.1741

N   =	7.43822e+22 [cm-3]
Tr  =	1.40005e-17 [s]
Rop =	3411.37 [uohm cm]

100 points of the fit :
Energy     	Real value  	Imaginary value
9.15825e-01	1.39889e+01	6.63045e+00
9.65253e-01	1.39694e+01	6.89724e+00
1.01468e+00	1.39220e+01	7.19805e+00
1.06411e+00	1.38402e+01	7.52889e+00
1.11354e+00	1.37174e+01	7.88430e+00
1.16296e+00	1.35471e+01	8.25694e+00
1.21239e+00	1.33238e+01	8.63732e+00
1.26182e+00	1.30440e+01	9.01385e+00
1.31125e+00	1.27066e+01	9.37322e+00
1.36067e+00	1.23146e+01	9.70124e+00
1.41010e+00	1.18751e+01	9.98422e+00
1.45953e+00	1.13991e+01	1.02104e+01
1.50896e+00	1.09012e+01	1.03717e+01
1.55838e+00	1.03981e+01	1.04644e+01
1.60781e+00	9.90656e+00	1.04901e+01
1.65724e+00	9.44204e+00	1.04550e+01
1.70667e+00	9.01702e+00	1.03695e+01
1.75609e+00	8.64014e+00	1.02463e+01
1.80552e+00	8.31583e+00	1.00995e+01
1.85495e+00	8.04453e+00	9.94249e+00
1.90438e+00	7.82335e+00	9.78774e+00
1.95380e+00	7.64683e+00	9.64550e+00
2.00323e+00	7.50788e+00	9.52372e+00
2.05266e+00	7.39849e+00	9.42795e+00
2.10209e+00	7.31047e+00	9.36148e+00
2.15152e+00	7.23592e+00	9.32564e+00
2.20094e+00	7.16764e+00	9.32010e+00
2.25037e+00	7.09938e+00	9.34328e+00
2.29980e+00	7.02609e+00	9.39274e+00
2.34923e+00	6.94388e+00	9.46566e+00
2.39865e+00	6.85007e+00	9.55928e+00
2.44808e+00	6.74280e+00	9.67143e+00
2.49751e+00	6.62064e+00	9.80084e+00
2.54694e+00	6.48183e+00	9.94738e+00
2.59636e+00	6.32335e+00	1.01118e+01
2.64579e+00	6.14004e+00	1.02950e+01
2.69522e+00	5.92403e+00	1.04964e+01
2.74465e+00	5.66515e+00	1.07120e+01
2.79407e+00	5.35299e+00	1.09320e+01
2.84350e+00	4.98107e+00	1.11398e+01
2.89293e+00	4.55240e+00	1.13151e+01
2.94236e+00	4.08302e+00	1.14416e+01
2.99178e+00	3.59797e+00	1.15200e+01
3.04121e+00	3.11328e+00	1.15781e+01
3.09064e+00	2.60238e+00	1.16629e+01
3.14007e+00	1.96340e+00	1.17871e+01
3.18949e+00	1.06686e+00	1.18145e+01
3.23892e+00	-1.35794e-02	1.14533e+01
3.28835e+00	-8.98691e-01	1.06093e+01
3.33778e+00	-1.32606e+00	9.57314e+00
3.38721e+00	-1.36907e+00	8.64385e+00
3.43663e+00	-1.20378e+00	7.92672e+00
3.48606e+00	-9.58320e-01	7.41725e+00
3.53549e+00	-7.10109e-01	7.08241e+00
3.58492e+00	-5.11314e-01	6.88284e+00
3.63434e+00	-3.98406e-01	6.76829e+00
3.68377e+00	-3.80489e-01	6.67523e+00
3.73320e+00	-4.25094e-01	6.54947e+00
3.78263e+00	-4.77815e-01	6.38065e+00
3.83205e+00	-5.08115e-01	6.19936e+00
3.88148e+00	-5.25571e-01	6.03694e+00
3.93091e+00	-5.57712e-01	5.89842e+00
3.98034e+00	-6.24099e-01	5.76431e+00
4.02976e+00	-7.24055e-01	5.60584e+00
4.07919e+00	-8.37531e-01	5.40095e+00
4.12862e+00	-9.35222e-01	5.14451e+00
4.17805e+00	-9.91617e-01	4.84871e+00
4.22747e+00	-9.93399e-01	4.53525e+00
4.27690e+00	-9.40071e-01	4.22603e+00
4.32633e+00	-8.39488e-01	3.93730e+00
4.37576e+00	-7.02660e-01	3.67841e+00
4.42519e+00	-5.40218e-01	3.45318e+00
4.47461e+00	-3.60820e-01	3.26188e+00
4.52404e+00	-1.70825e-01	3.10306e+00
4.57347e+00	2.54198e-02	2.97470e+00
4.62290e+00	2.25118e-01	2.87489e+00
4.67232e+00	4.26558e-01	2.80224e+00
4.72175e+00	6.28718e-01	2.75607e+00
4.77118e+00	8.30926e-01	2.73659e+00
4.82061e+00	1.03254e+00	2.74493e+00
4.87003e+00	1.23261e+00	2.78333e+00
4.91946e+00	1.42944e+00	2.85517e+00
4.96889e+00	1.62003e+00	2.96509e+00
5.01832e+00	1.79915e+00	3.11898e+00
5.06774e+00	1.95817e+00	3.32356e+00
5.11717e+00	2.08337e+00	3.58542e+00
5.16660e+00	2.15405e+00	3.90854e+00
5.21603e+00	2.14127e+00	4.28972e+00
5.26545e+00	2.00939e+00	4.71109e+00
5.31488e+00	1.72420e+00	5.13146e+00
5.36431e+00	1.27058e+00	5.48291e+00
5.41374e+00	6.75101e-01	5.68384e+00
5.46316e+00	1.47741e-02	5.67264e+00
5.51259e+00	-6.06565e-01	5.44254e+00
5.56202e+00	-1.10337e+00	5.04573e+00
5.61145e+00	-1.43859e+00	4.56256e+00
5.66088e+00	-1.62058e+00	4.06510e+00
5.71030e+00	-1.68148e+00	3.59965e+00
5.75973e+00	-1.65772e+00	3.18770e+00
5.80916e+00	-1.58001e+00	2.83420e+00
