# ----------------------------------------------
# File created by ellipsoFit 2012-03-18T14:14:02
# ----------------------------------------------
Ellipsometry file =	/home/mario/Documents/ellipsofit/samples/1736.csv
Reflectivity file =	/home/mario/Documents/ellipsofit/samples/1736.ref
Einf =	2.5164
Ep   =	5.6598
G    =	1.2864
Ek(1) =	1.3656
fk(1) =	5.1328
Gk(1) =	0.89395
Ek(2) =	2.5524
fk(2) =	0.76401
Gk(2) =	1.0953
Ek(3) =	4.8402
fk(3) =	0.87956
Gk(3) =	1.1578
Ek(4) =	6.232
fk(4) =	1.3823
Gk(4) =	0.97596

N   =	2.32562e+22 [cm-3]
Tr  =	5.11622e-16 [s]
Rop =	298.576 [uohm cm]

100 points of the fit :
Energy     	Real value  	Imaginary value  	Reflectivity value
1.30000e-01	-8.45743e+00	1.89965e+02	8.18636e-01
1.95000e-01	-8.18178e+00	1.25368e+02	7.84073e-01
2.60000e-01	-7.80603e+00	9.27481e+01	7.56213e-01
3.25000e-01	-7.33969e+00	7.29663e+01	7.32271e-01
3.90000e-01	-6.79409e+00	5.96509e+01	7.10769e-01
4.55000e-01	-6.18211e+00	5.00774e+01	6.90800e-01
5.20000e-01	-5.51788e+00	4.28883e+01	6.71777e-01
5.85000e-01	-4.81692e+00	3.73332e+01	6.53331e-01
6.50000e-01	-4.09655e+00	3.29650e+01	6.35282e-01
7.15000e-01	-3.37685e+00	2.95020e+01	6.17650e-01
7.80000e-01	-2.68226e+00	2.67583e+01	6.00672e-01
8.45000e-01	-2.04356e+00	2.46050e+01	5.84823e-01
9.10000e-01	-1.50005e+00	2.29458e+01	5.70781e-01
9.75000e-01	-1.10027e+00	2.16976e+01	5.59309e-01
1.04000e+00	-8.98873e-01	2.07731e+01	5.51056e-01
1.10500e+00	-9.45265e-01	2.00667e+01	5.46301e-01
1.17000e+00	-1.26175e+00	1.94472e+01	5.44773e-01
1.23500e+00	-1.81683e+00	1.87724e+01	5.45625e-01
1.30000e+00	-2.51280e+00	1.79257e+01	5.47605e-01
1.36500e+00	-3.20812e+00	1.68591e+01	5.49340e-01
1.43000e+00	-3.76921e+00	1.56079e+01	5.49621e-01
1.49500e+00	-4.11636e+00	1.42634e+01	5.47578e-01
1.56000e+00	-4.23464e+00	1.29258e+01	5.42706e-01
1.62500e+00	-4.15470e+00	1.16719e+01	5.34808e-01
1.69000e+00	-3.92613e+00	1.05452e+01	5.23905e-01
1.75500e+00	-3.59856e+00	9.56189e+00	5.10171e-01
1.82000e+00	-3.21329e+00	8.72088e+00	4.93906e-01
1.88500e+00	-2.80170e+00	8.01228e+00	4.75546e-01
1.95000e+00	-2.38682e+00	7.42271e+00	4.55682e-01
2.01500e+00	-1.98571e+00	6.93797e+00	4.35079e-01
2.08000e+00	-1.61150e+00	6.54388e+00	4.14639e-01
2.14500e+00	-1.27484e+00	6.22603e+00	3.95304e-01
2.21000e+00	-9.84281e-01	5.96898e+00	3.77888e-01
2.27500e+00	-7.45704e-01	5.75548e+00	3.62882e-01
2.34000e+00	-5.60741e-01	5.56643e+00	3.50306e-01
2.40500e+00	-4.24953e-01	5.38231e+00	3.39677e-01
2.47000e+00	-3.26962e-01	5.18620e+00	3.30113e-01
2.53500e+00	-2.49862e-01	4.96740e+00	3.20533e-01
2.60000e+00	-1.75021e-01	4.72384e+00	3.09888e-01
2.66500e+00	-8.66923e-02	4.46138e+00	2.97372e-01
2.73000e+00	2.48638e-02	4.19076e+00	2.82555e-01
2.79500e+00	1.62869e-01	3.92363e+00	2.65439e-01
2.86000e+00	3.25573e-01	3.66969e+00	2.46444e-01
2.92500e+00	5.08499e-01	3.43553e+00	2.26338e-01
