# ----------------------------------------------
# File created by ellipsoFit 2010-09-19T16:08:23
# ----------------------------------------------
Data file =	/Users/mario/Documents/EllipsoFit/samples/1737.csv
Einf =	2.1677
Ep   =	3.8445
G    =	0.45834
Ek(1) =	1.1999
fk(1) =	10.021
Gk(1) =	1.1539
Ek(2) =	3.1801
fk(2) =	0.02196
Gk(2) =	0.2706
Ek(3) =	5.905
fk(3) =	2.902
Gk(3) =	4.372

N   =	1.07304e+22 [cm-3]
Tr  =	1.43594e-15 [s]
Rop =	230.563 [uohm cm]

100 points of the fit :
Energy     	Real value  	Imaginary value
1.30000e-01	-4.99968e+01	2.30690e+02
1.95000e-01	-4.44457e+01	1.41706e+02
2.60000e-01	-3.80988e+01	9.61222e+01
3.25000e-01	-3.16987e+01	6.89613e+01
3.90000e-01	-2.57266e+01	5.15933e+01
4.55000e-01	-2.04288e+01	4.00824e+01
5.20000e-01	-1.58926e+01	3.23173e+01
5.85000e-01	-1.21183e+01	2.70496e+01
6.50000e-01	-9.06880e+00	2.34915e+01
7.15000e-01	-6.69645e+00	2.11172e+01
7.80000e-01	-4.95306e+00	1.95531e+01
8.45000e-01	-3.78764e+00	1.85150e+01
9.10000e-01	-3.13719e+00	1.77732e+01
9.75000e-01	-2.91656e+00	1.71414e+01
1.04000e+00	-3.01482e+00	1.64787e+01
1.10500e+00	-3.30376e+00	1.56994e+01
1.17000e+00	-3.65714e+00	1.47756e+01
1.23500e+00	-3.97226e+00	1.37283e+01
1.30000e+00	-4.18337e+00	1.26082e+01
1.36500e+00	-4.26255e+00	1.14736e+01
1.43000e+00	-4.21115e+00	1.03752e+01
1.49500e+00	-4.04778e+00	9.34871e+00
1.56000e+00	-3.79803e+00	8.41441e+00
1.62500e+00	-3.48762e+00	7.58007e+00
1.69000e+00	-3.13891e+00	6.84488e+00
1.75500e+00	-2.76968e+00	6.20297e+00
1.82000e+00	-2.39327e+00	5.64589e+00
1.88500e+00	-2.01914e+00	5.16435e+00
1.95000e+00	-1.65374e+00	4.74914e+00
2.01500e+00	-1.30121e+00	4.39176e+00
2.08000e+00	-9.64028e-01	4.08453e+00
2.14500e+00	-6.43470e-01	3.82076e+00
2.21000e+00	-3.39996e-01	3.59466e+00
2.27500e+00	-5.35072e-02	3.40126e+00
2.34000e+00	2.16464e-01	3.23634e+00
2.40500e+00	4.70621e-01	3.09635e+00
2.47000e+00	7.09819e-01	2.97829e+00
2.53500e+00	9.35001e-01	2.87966e+00
2.60000e+00	1.14717e+00	2.79844e+00
2.66500e+00	1.34739e+00	2.73304e+00
2.73000e+00	1.53675e+00	2.68232e+00
2.79500e+00	1.71640e+00	2.64580e+00
2.86000e+00	1.88747e+00	2.62388e+00
2.92500e+00	2.05071e+00	2.61862e+00
2.99000e+00	2.20488e+00	2.63513e+00
3.05500e+00	2.34069e+00	2.68242e+00
3.12000e+00	2.42605e+00	2.76035e+00
3.18500e+00	2.43142e+00	2.80652e+00
3.25000e+00	2.44335e+00	2.76355e+00
3.31500e+00	2.51918e+00	2.71007e+00
3.38000e+00	2.61877e+00	2.68834e+00
3.44500e+00	2.71654e+00	2.69189e+00
3.51000e+00	2.80579e+00	2.71133e+00
3.57500e+00	2.88564e+00	2.74124e+00
3.64000e+00	2.95645e+00	2.77870e+00
3.70500e+00	3.01876e+00	2.82205e+00
3.77000e+00	3.07299e+00	2.87023e+00
3.83500e+00	3.11947e+00	2.92253e+00
3.90000e+00	3.15842e+00	2.97839e+00
3.96500e+00	3.18998e+00	3.03735e+00
4.03000e+00	3.21423e+00	3.09898e+00
4.09500e+00	3.23121e+00	3.16288e+00
4.16000e+00	3.24094e+00	3.22866e+00
4.22500e+00	3.24342e+00	3.29590e+00
4.29000e+00	3.23864e+00	3.36419e+00
4.35500e+00	3.22657e+00	3.43308e+00
4.42000e+00	3.20723e+00	3.50213e+00
4.48500e+00	3.18062e+00	3.57084e+00
4.55000e+00	3.14678e+00	3.63873e+00
4.61500e+00	3.10578e+00	3.70525e+00
4.68000e+00	3.05773e+00	3.76988e+00
4.74500e+00	3.00277e+00	3.83207e+00
4.81000e+00	2.94111e+00	3.89126e+00
4.87500e+00	2.87300e+00	3.94688e+00
4.94000e+00	2.79873e+00	3.99841e+00
5.00500e+00	2.71870e+00	4.04529e+00
5.07000e+00	2.63331e+00	4.08703e+00
5.13500e+00	2.54306e+00	4.12316e+00
5.20000e+00	2.44848e+00	4.15325e+00
5.26500e+00	2.35015e+00	4.17693e+00
5.33000e+00	2.24872e+00	4.19389e+00
5.39500e+00	2.14484e+00	4.20390e+00
5.46000e+00	2.03920e+00	4.20678e+00
5.52500e+00	1.93249e+00	4.20246e+00
5.59000e+00	1.82544e+00	4.19092e+00
5.65500e+00	1.71871e+00	4.17223e+00
5.72000e+00	1.61300e+00	4.14655e+00
5.78500e+00	1.50894e+00	4.11410e+00
5.85000e+00	1.40713e+00	4.07517e+00
5.91500e+00	1.30812e+00	4.03010e+00
5.98000e+00	1.21241e+00	3.97930e+00
6.04500e+00	1.12044e+00	3.92321e+00
6.11000e+00	1.03258e+00	3.86230e+00
6.17500e+00	9.49124e-01	3.79706e+00
6.24000e+00	8.70327e-01	3.72800e+00
6.30500e+00	7.96364e-01	3.65563e+00
6.37000e+00	7.27352e-01	3.58045e+00
6.43500e+00	6.63353e-01	3.50297e+00
