# ----------------------------------------------
# File created by ellipsoFit 2011-03-21T18:01:03
# ----------------------------------------------
Ellipsometry file =	/home/mario/Bureau/ellipsofit-0.5.99/samples/1738.csv
Reflectivity file = 	/home/mario/Bureau/ellipsofit-0.5.99/samples/1738.csv
Einf =	2.3101
Ep   =	5.3375
G    =	1.1585
Ek(1) =	1.2466
fk(1) =	1.0804
Gk(1) =	0.90597
Ek(2) =	1.686
fk(2) =	0.398
Gk(2) =	1.4875
Ek(3) =	4.0316
fk(3) =	0.78094
Gk(3) =	2.2439
Ek(4) =	5.0006
fk(4) =	0.53886
Gk(4) =	1.8254
Ek(5) =	6.0203
fk(5) =	0.92837
Gk(5) =	1.5985

N   =	2.06829e+22 [cm-3]
Tr  =	5.68082e-16 [s]
Rop =	302.356 [uohm cm]

100 points of the fit :
Energy     	Real value  	Imaginary value  	Reflectivity value
9.76304e-01	-6.52077e+00	1.65160e+01	-3.94814e-01
1.02369e+00	-6.15221e+00	1.54067e+01	-3.99322e-01
1.07107e+00	-5.82555e+00	1.44062e+01	-4.04378e-01
1.11846e+00	-5.53625e+00	1.34909e+01	-4.10369e-01
1.16584e+00	-5.27621e+00	1.26414e+01	-4.17376e-01
1.21323e+00	-5.03518e+00	1.18440e+01	-4.25127e-01
1.26061e+00	-4.80282e+00	1.10907e+01	-4.33049e-01
1.30800e+00	-4.57076e+00	1.03786e+01	-4.40401e-01
1.35538e+00	-4.33376e+00	9.70769e+00	-4.46426e-01
1.40277e+00	-4.08978e+00	9.07898e+00	-4.50466e-01
1.45015e+00	-3.83921e+00	8.49331e+00	-4.52028e-01
1.49754e+00	-3.58388e+00	7.95049e+00	-4.50775e-01
1.54492e+00	-3.32615e+00	7.44932e+00	-4.46503e-01
1.59231e+00	-3.06830e+00	6.98780e+00	-4.39094e-01
1.63969e+00	-2.81227e+00	6.56345e+00	-4.28474e-01
1.68708e+00	-2.55953e+00	6.17360e+00	-4.14593e-01
1.73446e+00	-2.31117e+00	5.81562e+00	-3.97407e-01
1.78185e+00	-2.06793e+00	5.48702e+00	-3.76876e-01
1.82923e+00	-1.83031e+00	5.18550e+00	-3.52968e-01
1.87662e+00	-1.59867e+00	4.90897e+00	-3.25664e-01
1.92400e+00	-1.37323e+00	4.65551e+00	-2.94969e-01
1.97139e+00	-1.15414e+00	4.42341e+00	-2.60915e-01
2.01877e+00	-9.41468e-01	4.21107e+00	-2.23569e-01
2.06616e+00	-7.35265e-01	4.01705e+00	-1.83036e-01
2.11354e+00	-5.35525e-01	3.84002e+00	-1.39459e-01
2.16093e+00	-3.42211e-01	3.67876e+00	-9.30235e-02
2.20831e+00	-1.55256e-01	3.53214e+00	-4.39551e-02
2.25570e+00	2.54296e-02	3.39915e+00	7.48116e-03
2.30308e+00	1.99953e-01	3.27885e+00	6.09828e-02
2.35047e+00	3.68437e-01	3.17038e+00	1.16212e-01
2.39785e+00	5.31008e-01	3.07297e+00	1.72799e-01
2.44524e+00	6.87800e-01	2.98592e+00	2.30348e-01
2.49262e+00	8.38944e-01	2.90858e+00	2.88437e-01
2.54001e+00	9.84565e-01	2.84039e+00	3.46631e-01
2.58739e+00	1.12478e+00	2.78080e+00	4.04480e-01
2.63478e+00	1.25969e+00	2.72936e+00	4.61532e-01
2.68216e+00	1.38939e+00	2.68564e+00	5.17339e-01
2.72955e+00	1.51394e+00	2.64923e+00	5.71465e-01
2.77693e+00	1.63340e+00	2.61977e+00	6.23491e-01
2.82432e+00	1.74781e+00	2.59693e+00	6.73029e-01
2.87170e+00	1.85718e+00	2.58040e+00	7.19724e-01
2.91909e+00	1.96149e+00	2.56986e+00	7.63264e-01
2.96647e+00	2.06071e+00	2.56503e+00	8.03387e-01
3.01386e+00	2.15480e+00	2.56560e+00	8.39882e-01
3.06124e+00	2.24370e+00	2.57129e+00	8.72598e-01
3.10863e+00	2.32732e+00	2.58176e+00	9.01444e-01
3.15601e+00	2.40557e+00	2.59672e+00	9.26389e-01
3.20340e+00	2.47837e+00	2.61579e+00	9.47463e-01
3.25078e+00	2.54562e+00	2.63862e+00	9.64755e-01
3.29817e+00	2.60726e+00	2.66480e+00	9.78408e-01
